date,Station_No,TSP,PM2.5,O3,CO,NO2,SO2,Temperature,Humidity
27-02-2021 17:00,1,82.475,37.66,69.441125,1186.11,105.72135,472.255,29.11,70.2525
27-02-2021 18:00,1,79.85666667,36.48,63.76478333,1164.718,106.4271,472.0366667,29.06166667,70.23666667
27-02-2021 19:00,1,77.795,35.66333333,68.05066667,1110.092,108.6855,467.67,28.975,70.18
27-02-2021 20:00,1,75.55666667,34.815,61.89993333,1162.617,110.5047667,471.6,28.95,70.52
27-02-2021 21:00,1,73.455,33.93333333,58.07208333,1157.842,107.1485333,471.6,28.85833333,69.99333333
27-02-2021 22:00,1,72.02972973,32.93783784,60.00413514,1131.132973,105.3411351,468.7675676,28.77027027,69.51891892
27-02-2021 23:00,1,63.88823529,29.29411765,52.07723529,1001.738824,98.30682353,445.4,28.76470588,68.17058824
28-02-2021 00:00,1,58.53166667,27.36,50.90713333,991.863,100.5301667,445.4,28.7,68.405
28-02-2021 01:00,1,51.74166667,24.79166667,49.30401667,1005.042,101.1888667,446.2733333,28.7,68.74833333
28-02-2021 02:00,1,45.29,21.99833333,52.08493333,946.978,102.9454,446.71,28.605,68.965
28-02-2021 03:00,1,40.635,19.69,54.14608333,943.922,106.2389,448.02,28.55166667,69.25
28-02-2021 04:00,1,35.90166667,17.48333333,54.7677,941.248,109.156,445.4,28.5,69.56
28-02-2021 05:00,1,33.44833333,16.28333333,54.44053333,1008.289,109.6892333,445.4,28.475,69.95
28-02-2021 06:00,1,30.23,15.04166667,52.28123333,1069.791,108.7796,446.2733333,28.415,70.33166667
28-02-2021 07:00,1,28.51333333,14.21166667,54.964,1111.62,111.2575667,459.81,28.475,70.78666667
28-02-2021 08:00,1,27.74166667,13.59333333,53.3936,1087.363,109.7519667,471.6,28.65666667,70.62666667
28-02-2021 09:00,1,29.73666667,13.54833333,53.68805,998.166,104.5451,460.6833333,28.87,69.82833333
28-02-2021 10:00,1,28.85333333,13.03166667,49.33673333,912.407,97.4876,456.7533333,29.105,68.84333333
28-02-2021 11:00,1,26.31166667,11.89333333,45.77061667,829.131,94.06863333,445.4,29.17,68.05
28-02-2021 12:00,1,25.63,11.715,47.73361667,805.447,94.35093333,445.4,29.27,67.79666667
28-02-2021 13:00,1,24.67833333,11.68833333,50.6454,778.898,95.82516667,445.4,29.405,67.755
28-02-2021 14:00,1,22.36833333,10.525,50.67811667,737.069,94.63323333,445.4,29.47666667,67.415
28-02-2021 15:00,1,21.49666667,9.82,48.78055,743.945,97.80126667,445.4,29.41,67.68666667
28-02-2021 16:00,1,22.69333333,10.21166667,49.76205,735.159,94.3823,441.47,29.61333333,66.445
28-02-2021 17:00,1,26.44333333,11.87,51.26701667,736.496,95.6997,419.2,29.56333333,66.29666667
28-02-2021 18:00,1,28.02666667,12.64166667,50.67811667,781.954,98.36586667,419.2,29.41833333,66.43
28-02-2021 19:00,1,26.62333333,11.97166667,54.83313333,796.088,103.0395,419.2,29.32166667,66.53
28-02-2021 20:00,1,26.39666667,12.20666667,55.12758333,798.762,105.9252333,419.2,29.22333333,67.43333333
28-02-2021 21:00,1,25.10833333,11.92,55.61833333,818.817,106.5212,423.5666667,29.14166667,68.42333333
28-02-2021 22:00,1,23.74166667,11.465,58.23566667,795.133,107.7445,420.9466667,29.07166667,69.38333333
28-02-2021 23:00,1,23.53666667,11.45833333,56.07636667,759.034,104.9842333,418.3266667,29.035,69.76
01-03-2021 00:00,1,23.89833333,11.66,52.87013333,743.945,103.5413667,417.89,29,69.85833333
01-03-2021 01:00,1,23.85166667,11.75666667,51.52875,715.677,103.1963333,414.3966667,28.95833333,69.93166667
01-03-2021 02:00,1,22.63,11.01166667,51.75776667,709.947,102.569,398.24,28.9,69.82
01-03-2021 03:00,1,20.9,10.42333333,49.53303333,717.969,102.1612333,408.2833333,28.875,69.66
01-03-2021 04:00,1,21.30833333,10.70333333,49.00956667,723.126,101.8789333,405.2266667,28.8,69.62333333
01-03-2021 05:00,1,20.29,10.50833333,47.3083,736.114,101.628,413.5233333,28.8,69.69
01-03-2021 06:00,1,20.455,10.77166667,45.37801667,807.739,103.6982,424.0033333,28.77666667,69.89333333
01-03-2021 07:00,1,21.61666667,11.13333333,47.83176667,907.441,103.5727333,445.4,28.78333333,69.96166667
01-03-2021 08:00,1,29.22333333,13.855,56.59983333,903.239,94.82143333,423.13,28.96333333,68.49833333
01-03-2021 09:00,1,31.35714286,13.93333333,80.66995238,704.5171429,94.01038095,361.8095238,29.16666667,66.01904762
